Time,Download,Upload
12:00:37 AM,58.22,59.08
1:00:01 AM,57.99,57.77
2:00:08 AM,57.06,56.79
3:00:53 AM,56.16,57.83
4:00:16 AM,58.97,55.77
5:00:01 AM,55.99,58.62
6:00:39 AM,57.32,62.53
7:00:42 AM,58.51,59.2
8:00:02 AM,58.2,59.77
9:00:07 AM,50.46,44.14
10:00:14 AM,58.18,57.07
11:00:18 AM,54.28,51.48
12:00:14 PM,57.74,56.81
1:00:07 PM,53.85,50.57
2:00:37 PM,55.95,51.06
3:00:13 PM,55.86,47.35
4:00:40 PM,57.43,58.53
5:00:07 PM,55.54,54.4
6:00:59 PM,56.61,54.81
7:00:04 PM,56.86,59.89
8:00:11 PM,58.11,54.89
9:00:03 PM,57.75,53.09
10:00:09 PM,55.45,52.44
11:00:02 PM,58.52,59.59
